ticker,cik10,form,filing_date,accession,primary_doc,url,local_path
MSFT,0000789019,10-Q,2023-04-25,0000950170-23-014423,msft-20230331.htm,https://www.sec.gov/Archives/edgar/data/789019/000095017023014423/msft-20230331.htm,data/raw/sec/filings_raw/MSFT/2023-04-25_10-Q_0000950170-23-014423.htm
MSFT,0000789019,10-K,2023-07-27,0000950170-23-035122,msft-20230630.htm,https://www.sec.gov/Archives/edgar/data/789019/000095017023035122/msft-20230630.htm,data/raw/sec/filings_raw/MSFT/2023-07-27_10-K_0000950170-23-035122.htm
MSFT,0000789019,10-Q,2023-10-24,0000950170-23-054855,msft-20230930.htm,https://www.sec.gov/Archives/edgar/data/789019/000095017023054855/msft-20230930.htm,data/raw/sec/filings_raw/MSFT/2023-10-24_10-Q_0000950170-23-054855.htm
MSFT,0000789019,10-Q,2024-01-30,0000950170-24-008814,msft-20231231.htm,https://www.sec.gov/Archives/edgar/data/789019/000095017024008814/msft-20231231.htm,data/raw/sec/filings_raw/MSFT/2024-01-30_10-Q_0000950170-24-008814.htm
MSFT,0000789019,10-Q,2024-04-25,0000950170-24-048288,msft-20240331.htm,https://www.sec.gov/Archives/edgar/data/789019/000095017024048288/msft-20240331.htm,data/raw/sec/filings_raw/MSFT/2024-04-25_10-Q_0000950170-24-048288.htm
MSFT,0000789019,10-K,2024-07-30,0000950170-24-087843,msft-20240630.htm,https://www.sec.gov/Archives/edgar/data/789019/000095017024087843/msft-20240630.htm,data/raw/sec/filings_raw/MSFT/2024-07-30_10-K_0000950170-24-087843.htm
MSFT,0000789019,10-Q,2024-10-30,0000950170-24-118967,msft-20240930.htm,https://www.sec.gov/Archives/edgar/data/789019/000095017024118967/msft-20240930.htm,data/raw/sec/filings_raw/MSFT/2024-10-30_10-Q_0000950170-24-118967.htm
MSFT,0000789019,10-Q,2025-01-29,0000950170-25-010491,msft-20241231.htm,https://www.sec.gov/Archives/edgar/data/789019/000095017025010491/msft-20241231.htm,data/raw/sec/filings_raw/MSFT/2025-01-29_10-Q_0000950170-25-010491.htm
MSFT,0000789019,10-Q,2025-04-30,0000950170-25-061046,msft-20250331.htm,https://www.sec.gov/Archives/edgar/data/789019/000095017025061046/msft-20250331.htm,data/raw/sec/filings_raw/MSFT/2025-04-30_10-Q_0000950170-25-061046.htm
MSFT,0000789019,10-K,2025-07-30,0000950170-25-100235,msft-20250630.htm,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm,data/raw/sec/filings_raw/MSFT/2025-07-30_10-K_0000950170-25-100235.htm
MSFT,0000789019,10-Q,2025-10-29,0001193125-25-256321,msft-20250930.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312525256321/msft-20250930.htm,data/raw/sec/filings_raw/MSFT/2025-10-29_10-Q_0001193125-25-256321.htm
NFLX,0001065280,10-K,2023-01-26,0001065280-23-000035,nflx-20221231.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528023000035/nflx-20221231.htm,data/raw/sec/filings_raw/NFLX/2023-01-26_10-K_0001065280-23-000035.htm
NFLX,0001065280,10-Q,2023-04-21,0001065280-23-000120,nflx-20230331.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528023000120/nflx-20230331.htm,data/raw/sec/filings_raw/NFLX/2023-04-21_10-Q_0001065280-23-000120.htm
NFLX,0001065280,10-Q,2023-07-21,0001065280-23-000198,nflx-20230630.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528023000198/nflx-20230630.htm,data/raw/sec/filings_raw/NFLX/2023-07-21_10-Q_0001065280-23-000198.htm
NFLX,0001065280,10-Q,2023-10-20,0001065280-23-000273,nflx-20230930.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528023000273/nflx-20230930.htm,data/raw/sec/filings_raw/NFLX/2023-10-20_10-Q_0001065280-23-000273.htm
NFLX,0001065280,10-K,2024-01-26,0001065280-24-000030,nflx-20231231.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528024000030/nflx-20231231.htm,data/raw/sec/filings_raw/NFLX/2024-01-26_10-K_0001065280-24-000030.htm
NFLX,0001065280,10-Q,2024-04-22,0001065280-24-000128,nflx-20240331.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528024000128/nflx-20240331.htm,data/raw/sec/filings_raw/NFLX/2024-04-22_10-Q_0001065280-24-000128.htm
NFLX,0001065280,10-Q,2024-07-19,0001065280-24-000200,nflx-20240630.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528024000200/nflx-20240630.htm,data/raw/sec/filings_raw/NFLX/2024-07-19_10-Q_0001065280-24-000200.htm
NFLX,0001065280,10-Q,2024-10-18,0001065280-24-000287,nflx-20240930.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528024000287/nflx-20240930.htm,data/raw/sec/filings_raw/NFLX/2024-10-18_10-Q_0001065280-24-000287.htm
NFLX,0001065280,10-K,2025-01-27,0001065280-25-000044,nflx-20241231.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528025000044/nflx-20241231.htm,data/raw/sec/filings_raw/NFLX/2025-01-27_10-K_0001065280-25-000044.htm
NFLX,0001065280,10-Q,2025-04-18,0001065280-25-000176,nflx-20250331.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528025000176/nflx-20250331.htm,data/raw/sec/filings_raw/NFLX/2025-04-18_10-Q_0001065280-25-000176.htm
NFLX,0001065280,10-Q,2025-07-18,0001065280-25-000323,nflx-20250630.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528025000323/nflx-20250630.htm,data/raw/sec/filings_raw/NFLX/2025-07-18_10-Q_0001065280-25-000323.htm
NFLX,0001065280,10-Q,2025-10-22,0001065280-25-000406,nflx-20250930.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528025000406/nflx-20250930.htm,data/raw/sec/filings_raw/NFLX/2025-10-22_10-Q_0001065280-25-000406.htm
TSLA,0001318605,10-K,2022-02-07,0000950170-22-000796,tsla-20211231.htm,https://www.sec.gov/Archives/edgar/data/1318605/000095017022000796/tsla-20211231.htm,data/raw/sec/filings_raw/TSLA/2022-02-07_10-K_0000950170-22-000796.htm
TSLA,0001318605,10-Q,2022-04-25,0000950170-22-006034,tsla-20220331.htm,https://www.sec.gov/Archives/edgar/data/1318605/000095017022006034/tsla-20220331.htm,data/raw/sec/filings_raw/TSLA/2022-04-25_10-Q_0000950170-22-006034.htm
TSLA,0001318605,10-Q,2022-07-25,0000950170-22-012936,tsla-20220630.htm,https://www.sec.gov/Archives/edgar/data/1318605/000095017022012936/tsla-20220630.htm,data/raw/sec/filings_raw/TSLA/2022-07-25_10-Q_0000950170-22-012936.htm
TSLA,0001318605,10-Q,2022-10-24,0000950170-22-019867,tsla-20220930.htm,https://www.sec.gov/Archives/edgar/data/1318605/000095017022019867/tsla-20220930.htm,data/raw/sec/filings_raw/TSLA/2022-10-24_10-Q_0000950170-22-019867.htm
TSLA,0001318605,10-K,2023-01-31,0000950170-23-001409,tsla-20221231.htm,https://www.sec.gov/Archives/edgar/data/1318605/000095017023001409/tsla-20221231.htm,data/raw/sec/filings_raw/TSLA/2023-01-31_10-K_0000950170-23-001409.htm
TSLA,0001318605,10-Q,2023-04-24,0000950170-23-013890,tsla-20230331.htm,https://www.sec.gov/Archives/edgar/data/1318605/000095017023013890/tsla-20230331.htm,data/raw/sec/filings_raw/TSLA/2023-04-24_10-Q_0000950170-23-013890.htm
TSLA,0001318605,10-Q,2023-07-24,0000950170-23-033872,tsla-20230630.htm,https://www.sec.gov/Archives/edgar/data/1318605/000095017023033872/tsla-20230630.htm,data/raw/sec/filings_raw/TSLA/2023-07-24_10-Q_0000950170-23-033872.htm
TSLA,0001318605,10-Q,2023-10-23,0001628280-23-034847,tsla-20230930.htm,https://www.sec.gov/Archives/edgar/data/1318605/000162828023034847/tsla-20230930.htm,data/raw/sec/filings_raw/TSLA/2023-10-23_10-Q_0001628280-23-034847.htm
TSLA,0001318605,10-K,2024-01-29,0001628280-24-002390,tsla-20231231.htm,https://www.sec.gov/Archives/edgar/data/1318605/000162828024002390/tsla-20231231.htm,data/raw/sec/filings_raw/TSLA/2024-01-29_10-K_0001628280-24-002390.htm
TSLA,0001318605,10-Q,2024-04-24,0001628280-24-017503,tsla-20240331.htm,https://www.sec.gov/Archives/edgar/data/1318605/000162828024017503/tsla-20240331.htm,data/raw/sec/filings_raw/TSLA/2024-04-24_10-Q_0001628280-24-017503.htm
TSLA,0001318605,10-Q,2024-07-24,0001628280-24-032662,tsla-20240630.htm,https://www.sec.gov/Archives/edgar/data/1318605/000162828024032662/tsla-20240630.htm,data/raw/sec/filings_raw/TSLA/2024-07-24_10-Q_0001628280-24-032662.htm
TSLA,0001318605,10-Q,2024-10-24,0001628280-24-043486,tsla-20240930.htm,https://www.sec.gov/Archives/edgar/data/1318605/000162828024043486/tsla-20240930.htm,data/raw/sec/filings_raw/TSLA/2024-10-24_10-Q_0001628280-24-043486.htm
TSLA,0001318605,10-K,2025-01-30,0001628280-25-003063,tsla-20241231.htm,https://www.sec.gov/Archives/edgar/data/1318605/000162828025003063/tsla-20241231.htm,data/raw/sec/filings_raw/TSLA/2025-01-30_10-K_0001628280-25-003063.htm
TSLA,0001318605,10-Q,2025-04-23,0001628280-25-018911,tsla-20250331.htm,https://www.sec.gov/Archives/edgar/data/1318605/000162828025018911/tsla-20250331.htm,data/raw/sec/filings_raw/TSLA/2025-04-23_10-Q_0001628280-25-018911.htm
TSLA,0001318605,10-Q,2025-07-24,0001628280-25-035806,tsla-20250630.htm,https://www.sec.gov/Archives/edgar/data/1318605/000162828025035806/tsla-20250630.htm,data/raw/sec/filings_raw/TSLA/2025-07-24_10-Q_0001628280-25-035806.htm
TSLA,0001318605,10-Q,2025-10-23,0001628280-25-045968,tsla-20250930.htm,https://www.sec.gov/Archives/edgar/data/1318605/000162828025045968/tsla-20250930.htm,data/raw/sec/filings_raw/TSLA/2025-10-23_10-Q_0001628280-25-045968.htm
