ticker,date,adj_close,ret_1d,log_ret_1d,Volume,filed,Assets,Liabilities,StockholdersEquity,Revenues,NetIncomeLoss,OperatingIncomeLoss,EarningsPerShareBasic,CommonStockSharesOutstanding,price_open,price_close,price_avg,price_min,price_max,price_volume
COIN,2023-08-01,94.1500015258789,-0.045228669068728,-0.0462834112237345,11543600,2023-05-04,139301859000.0,133626913000.0,5674946000.0,772529000.0,-78896000.0,-123875000.0,-0.34,,,,94.1500015258789,,,11543600
COIN,2023-09-01,77.98999786376953,-0.0202261387087211,-0.0204334877296796,6676500,2023-08-03,137650575000.0,131895872000.0,5754703000.0,707911000.0,-97405000.0,-73575000.0,-0.42,,,,77.98999786376953,,,6676500
COIN,2023-10-02,75.30999755859375,0.0030633420608672,0.0030586595888148,9709300,2023-08-03,137650575000.0,131895872000.0,5754703000.0,707911000.0,-97405000.0,-73575000.0,-0.42,,,,75.30999755859375,,,9709300
COIN,2023-11-01,77.80999755859375,0.0089470278454093,0.008907240335645,6878600,2023-08-03,137650575000.0,131895872000.0,5754703000.0,707911000.0,-97405000.0,-73575000.0,-0.42,,,,77.80999755859375,,,6878600
COIN,2023-12-01,133.75999450683594,0.0724823059465478,0.0699758737320055,13693500,2023-11-02,127305595000.0,121384470000.0,5921125000.0,674148000.0,-2265000.0,-79825000.0,-0.01,,,,133.75999450683594,,,13693500
COIN,2024-01-02,156.8800048828125,-0.0979760433850753,-0.1031141998321596,26549400,2023-11-02,127305595000.0,121384470000.0,5921125000.0,674148000.0,-2265000.0,-79825000.0,-0.01,,,,156.8800048828125,,,26549400
COIN,2024-02-01,128.9499969482422,0.0058502341486232,0.005833187979237,8464300,2023-11-02,127305595000.0,121384470000.0,5921125000.0,674148000.0,-2265000.0,-79825000.0,-0.01,,,,128.9499969482422,,,8464300
COIN,2024-03-01,205.7700042724609,0.0108567829650865,0.0107982712155377,9297400,2024-02-15,206982953000.0,200701304000.0,6281649000.0,3108383000.0,94871000.0,-161662000.0,0.4,,,,205.7700042724609,,,9297400
COIN,2024-04-01,252.1100006103516,-0.0490720984702993,-0.0503170326338548,10010700,2024-02-15,206982953000.0,200701304000.0,6281649000.0,3108383000.0,94871000.0,-161662000.0,0.4,,,,252.1100006103516,,,10010700
COIN,2024-05-01,210.08999633789065,0.0302064624299913,0.0297592311154923,10191500,2024-02-15,206982953000.0,200701304000.0,6281649000.0,3108383000.0,94871000.0,-161662000.0,0.4,,,,210.08999633789065,,,10191500
COIN,2024-06-03,231.38999938964844,0.0242121160810766,0.0239236497762599,7333100,2024-05-02,348036477000.0,339965483000.0,8070994000.0,1637570000.0,1176245000.0,760461000.0,4.84,,,,231.38999938964844,,,7333100
COIN,2024-07-01,233.3699951171875,0.0501282437286569,0.0489122935957652,7739800,2024-05-02,348036477000.0,339965483000.0,8070994000.0,1637570000.0,1176245000.0,760461000.0,4.84,,,,233.3699951171875,,,7739800
COIN,2024-08-01,212.63999938964844,-0.0522374807845423,-0.0536513152659643,8920000,2024-08-01,286959173000.0,278588404000.0,8370769000.0,1449628000.0,36150000.0,343117000.0,0.15,,,,212.63999938964844,,,8920000
COIN,2024-09-03,169.1300048828125,-0.0776068699834839,-0.080783757998957,9746600,2024-08-01,286959173000.0,278588404000.0,8370769000.0,1449628000.0,36150000.0,343117000.0,0.15,,,,169.1300048828125,,,9746600
COIN,2024-10-01,165.00999450683594,-0.073862063183223,-0.0767320955840423,15210500,2024-08-01,286959173000.0,278588404000.0,8370769000.0,1449628000.0,36150000.0,343117000.0,0.15,,,,165.00999450683594,,,15210500
COIN,2024-11-01,182.8800048828125,0.0202510732653418,0.0200487472663139,14443400,2024-10-30,290558608000.0,281830486000.0,8728122000.0,1205193000.0,75495000.0,169513000.0,0.3,,,,182.8800048828125,,,14443400
COIN,2024-12-02,302.3999938964844,0.0209317401550936,0.0207156810759724,11221100,2024-10-30,290558608000.0,281830486000.0,8728122000.0,1205193000.0,75495000.0,169513000.0,0.3,,,,302.3999938964844,,,11221100
COIN,2025-01-02,257.2099914550781,0.0358839641313377,0.0352551338301747,6289500,2024-10-30,290558608000.0,281830486000.0,8728122000.0,1205193000.0,75495000.0,169513000.0,0.3,,,,257.2099914550781,,,6289500
