date,ticker,adj_close,ret_1d,log_ret_1d,Volume,filed,Assets,Liabilities,StockholdersEquity,Revenues,NetIncomeLoss,OperatingIncomeLoss,EarningsPerShareBasic,CommonStockSharesOutstanding
2025-10-28,GOOG,268.2549743652344,-0.0055570017486681,-0.0055724993229165,20101200,2025-07-24,502053000000.0,139137000000.0,362916000000.0,96428000000.0,28196000000.0,31271000000.0,2.33,12104000000.0
2025-10-29,GOOG,274.9906005859375,0.025109044992144,0.0247989922900399,26287900,2025-07-24,502053000000.0,139137000000.0,362916000000.0,96428000000.0,28196000000.0,31271000000.0,2.33,12104000000.0
2025-10-30,GOOG,281.7161865234375,0.0244575120864838,0.0241632159837214,48570000,2025-10-30,536469000000.0,149602000000.0,386867000000.0,102346000000.0,34979000000.0,31228000000.0,2.89,12077000000.0
2025-10-31,GOOG,281.6362609863281,-0.0002837094243526,-0.000283749677485,29932800,2025-10-30,536469000000.0,149602000000.0,386867000000.0,102346000000.0,34979000000.0,31228000000.0,2.89,12077000000.0
2025-11-03,GOOG,283.93475341796875,0.0081612091553515,0.0081280865793936,19691800,2025-10-30,536469000000.0,149602000000.0,386867000000.0,102346000000.0,34979000000.0,31228000000.0,2.89,12077000000.0
2025-11-04,GOOG,277.8786926269531,-0.0213290578842976,-0.0215598092785481,18123700,2025-10-30,536469000000.0,149602000000.0,386867000000.0,102346000000.0,34979000000.0,31228000000.0,2.89,12077000000.0
2025-11-05,GOOG,284.5643310546875,0.0240595576599669,0.0237746867032969,20063200,2025-10-30,536469000000.0,149602000000.0,386867000000.0,102346000000.0,34979000000.0,31228000000.0,2.89,12077000000.0
2025-11-06,GOOG,285.1539611816406,0.0020720450970357,0.0020699013723457,23103800,2025-10-30,536469000000.0,149602000000.0,386867000000.0,102346000000.0,34979000000.0,31228000000.0,2.89,12077000000.0
2025-11-07,GOOG,279.51763916015625,-0.0197658906722817,-0.0199638487773916,21991100,2025-10-30,536469000000.0,149602000000.0,386867000000.0,102346000000.0,34979000000.0,31228000000.0,2.89,12077000000.0
2025-11-10,GOOG,290.4005126953125,0.0389344785819425,0.0381956481285435,19508200,2025-10-30,536469000000.0,149602000000.0,386867000000.0,102346000000.0,34979000000.0,31228000000.0,2.89,12077000000.0
