ticker,filed,Assets,CommonStockSharesOutstanding,EarningsPerShareBasic,Liabilities,NetIncomeLoss,OperatingIncomeLoss,Revenues,StockholdersEquity
COIN,2025-02-13,22541951000.0,,10.42,12265109000.0,2579066000.0,2307160000.0,6564028000.0,10276842000.0
COIN,2025-05-08,21731006000.0,,0.26,11262766000.0,65608000.0,705806000.0,2034295000.0,10468240000.0
COIN,2025-07-31,23476038000.0,,5.6,11381149000.0,1428900000.0,-24650000.0,1497208000.0,12094889000.0
COIN,2025-10-30,31351367000.0,268736000.0,1.65,15328143000.0,432552000.0,480532000.0,1868693000.0,16023224000.0
COIN,2026-02-12,29671832000.0,267836000.0,4.85,14878774000.0,1260327000.0,1435441000.0,7181325000.0,14793058000.0
GOOG,2015-10-29,144281000000.0,,5.16,,3979000000.0,4708000000.0,18675000000.0,116241000000.0
GOOG,2016-02-11,147461000000.0,687348000.0,20.91,,16348000000.0,19360000000.0,74989000000.0,120331000000.0
GOOG,2016-05-03,149747000000.0,686792000.0,,26178000000.0,4207000000.0,5342000000.0,20257000000.0,123569000000.0
GOOG,2016-08-04,154292000000.0,686778000.0,,26413000000.0,4877000000.0,5968000000.0,21500000000.0,127879000000.0
GOOG,2016-11-03,159948000000.0,689136000.0,,25845000000.0,5061000000.0,5767000000.0,22451000000.0,134103000000.0
GOOG,2017-02-03,167497000000.0,691293000.0,,28461000000.0,19478000000.0,23716000000.0,90272000000.0,139036000000.0
GOOG,2017-05-02,172756000000.0,692108000.0,7.85,27807000000.0,5426000000.0,6568000000.0,24750000000.0,144949000000.0
GOOG,2017-07-25,178621000000.0,692876000.0,5.09,30335000000.0,3524000000.0,4132000000.0,26010000000.0,148286000000.0
GOOG,2017-10-27,189536000000.0,694790000.0,9.71,32436000000.0,6732000000.0,7782000000.0,27772000000.0,157100000000.0
GOOG,2018-02-06,197295000000.0,694783000.0,,44793000000.0,12662000000.0,26146000000.0,110855000000.0,152502000000.0
GOOG,2018-04-24,206935000000.0,694945000.0,13.53,46110000000.0,9401000000.0,7001000000.0,31146000000.0,160825000000.0
GOOG,2018-07-24,211610000000.0,695946000.0,4.6,49610000000.0,3195000000.0,2807000000.0,32657000000.0,162000000000.0
GOOG,2018-10-26,221538000000.0,695957000.0,13.21,51698000000.0,9192000000.0,8310000000.0,33740000000.0,169840000000.0
GOOG,2019-02-05,232792000000.0,695556000.0,44.22,55164000000.0,30736000000.0,26321000000.0,,177628000000.0
GOOG,2019-04-30,245349000000.0,694782000.0,9.58,61877000000.0,6657000000.0,6608000000.0,36339000000.0,183472000000.0
GOOG,2019-07-26,257101000000.0,694050000.0,14.33,64909000000.0,9947000000.0,9180000000.0,,192192000000.0
GOOG,2019-10-29,263044000000.0,690906000.0,10.2,68075000000.0,7068000000.0,9177000000.0,,194969000000.0
GOOG,2020-02-04,275909000000.0,688335000.0,49.59,74467000000.0,34343000000.0,34231000000.0,,201442000000.0
GOOG,2020-04-29,273403000000.0,683972000.0,9.96,69744000000.0,6836000000.0,7977000000.0,,203659000000.0
GOOG,2020-07-31,278492000000.0,681215000.0,10.21,71170000000.0,6959000000.0,6383000000.0,,207322000000.0
GOOG,2020-10-30,299243000000.0,677724000.0,16.55,86323000000.0,11247000000.0,11213000000.0,,212920000000.0
GOOG,2021-02-03,319616000000.0,675222000.0,59.15,97072000000.0,40269000000.0,41224000000.0,182527000000.0,222544000000.0
GOOG,2021-04-28,327095000000.0,671094000.0,26.63,97082000000.0,17930000000.0,16437000000.0,55314000000.0,230013000000.0
GOOG,2021-07-28,335387000000.0,667637000.0,27.69,97822000000.0,18525000000.0,19361000000.0,61880000000.0,237565000000.0
GOOG,2021-10-27,347403000000.0,664682000.0,28.44,102836000000.0,18936000000.0,21031000000.0,,244567000000.0
GOOG,2022-02-02,359268000000.0,662121000.0,113.88,107633000000.0,76033000000.0,78714000000.0,257637000000.0,251635000000.0
GOOG,2022-04-27,357096000000.0,658763000.0,24.9,103092000000.0,16436000000.0,20094000000.0,,254004000000.0
GOOG,2022-07-27,355185000000.0,13078000000.0,1.22,99766000000.0,16002000000.0,19453000000.0,,255419000000.0
